draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
6,bootstrap,player_00007,persistent_player,0.576320266,0,1.5,0.864480399,0,,0.135511721,0.121960549,4.487976631,7.787296224,0.041324166,lost,-0.576320266,0.0
6,bootstrap,player_00033,occasional_player,1.1522222,0.576320266,1.441853453,1.661335558,10,,0.478868108,0.430981297,2.841389972,1.230268289,-0.089602236,lost,-1.1522222,0.0
6,bootstrap,player_00034,occasional_player,1.204419559,1.728542466,1.325602566,1.596581658,20,,0.250272336,0.225245102,3.891282303,3.230836193,-0.056637671,won,3.891282303,0.204804332
6,bootstrap,player_00033,occasional_player,1.157347181,2.932962025,1.204085344,1.393544778,30,,0.478868108,0.430981297,2.841389972,1.230268289,-0.089602236,lost,-1.157347181,0.0
6,countdown,player_00035,occasional_player,0.31244217,4.090309206,1.0,0.31244217,30,,0.048976907,0.044079217,4.738660822,15.166521287,-0.089793508,lost,-0.31244217,0.0
6,countdown,player_00006,persistent_player,0.55099273,4.402751376,1.0,0.55099273,30,,0.086370927,0.077733834,4.51203779,8.188924362,-0.157423955,lost,-0.55099273,0.0
7,bootstrap,player_00036,occasional_player,0.664065122,0,1.5,0.996097683,0,,0.162907938,0.146617144,3.718577972,5.599718835,-0.021494507,won,3.718577972,0.19571463
7,bootstrap,player_00021,persistent_player,3.448882724,0.664065122,1.432137414,4.939273985,10,,0.80779923,0.727019307,1.07300125,0.311115609,-0.161385771,lost,-3.448882724,0.0
7,bootstrap,player_00037,occasional_player,0.165891148,4.112947846,1.079686888,0.179110497,20,,0.029292832,0.026363549,4.191843247,25.26863728,-0.051005806,lost,-0.165891148,0.0
8,bootstrap,player_00014,persistent_player,0.558375515,0,1.5,0.837563273,0,,0.080875951,0.072788356,8.440384773,15.115965056,0.096629451,lost,-0.558375515,0.0
8,bootstrap,player_00031,occasional_player,0.772467046,0.558375515,1.443291605,1.114895203,10,,0.107655401,0.096889861,8.236997818,10.663235229,0.100458749,lost,-0.772467046,0.0
8,bootstrap,player_00018,persistent_player,0.631837105,1.330842561,1.36484016,0.862356655,20,,0.083270025,0.074943022,8.370596262,13.248028955,0.04283246,lost,-0.631837105,0.0
8,bootstrap,player_00038,occasional_player,0.286102979,1.962679666,1.300671035,0.372125858,30,,0.035932847,0.032339562,8.699043682,30.405288726,0.004472728,won,8.699043682,0.457844404
8,bootstrap,player_00007,persistent_player,0.261063433,2.248782645,1.271614531,0.331972055,40,,0.032055555,0.02885,8.722831251,33.412688825,-0.001878075,lost,-0.261063433,0.0
8,bootstrap,player_00039,opportunistic_player,1.014743304,2.509846078,1.245101033,1.263457936,50,,0.122000767,0.109800691,8.006835373,7.890503284,-0.024167734,lost,-1.014743304,0.0
8,countdown,player_00040,opportunistic_player,0.531413866,3.524589382,1.0,0.531413866,50,,0.051313857,0.046182471,8.465998339,15.931082873,-0.115891137,lost,-0.531413866,0.0
8,countdown,player_00041,occasional_player,2.583740938,4.056003248,1.0,2.583740938,50,,0.24948862,0.224539758,6.516287621,2.522035985,-0.540422725,lost,-2.583740938,0.0
